spam_count;date
1;17.07.2020 8:01:52
1;17.07.2020 8:09:56
1;17.07.2020 9:02:15
1;17.07.2020 10:01:48
1;17.07.2020 12:00:24
1;17.07.2020 12:05:28
1;17.07.2020 13:22:16
1;17.07.2020 14:00:28
1;17.07.2020 15:40:34
2;17.07.2020 15:41:13
7;17.07.2020 15:41:14
10;17.07.2020 15:41:15
8;17.07.2020 15:41:16
12;17.07.2020 15:41:17
10;17.07.2020 15:41:18
8;17.07.2020 15:41:19
13;17.07.2020 15:41:20
13;17.07.2020 15:41:21
9;17.07.2020 15:41:22
8;17.07.2020 15:41:23
12;17.07.2020 15:41:24
14;17.07.2020 15:41:25
10;17.07.2020 15:41:26
8;17.07.2020 15:41:27
12;17.07.2020 15:41:28
14;17.07.2020 15:41:29
10;17.07.2020 15:41:30
13;17.07.2020 15:41:31
4;17.07.2020 15:41:32
5;17.07.2020 15:41:33
1;17.07.2020 15:41:34
3;17.07.2020 15:42:13
5;17.07.2020 15:42:14
12;17.07.2020 15:42:15
9;17.07.2020 15:42:16
12;17.07.2020 15:42:17
8;17.07.2020 15:42:18
12;17.07.2020 15:42:19
10;17.07.2020 15:42:20
11;17.07.2020 15:42:21
11;17.07.2020 15:42:22
11;17.07.2020 15:42:23
4;17.07.2020 15:42:24
9;17.07.2020 15:42:25
15;17.07.2020 15:42:26
13;17.07.2020 15:42:27
8;17.07.2020 15:42:28
10;17.07.2020 15:42:29
13;17.07.2020 15:42:30
8;17.07.2020 15:42:31
11;17.07.2020 15:42:32
3;17.07.2020 15:42:33
6;17.07.2020 15:42:34
2;17.07.2020 15:42:35
1;17.07.2020 17:59:59
1;17.07.2020 19:03:20
3;17.07.2020 19:24:31
9;17.07.2020 19:24:32
11;17.07.2020 19:24:33
10;17.07.2020 19:24:34
5;17.07.2020 19:24:35
4;17.07.2020 19:24:36
3;17.07.2020 19:24:37
9;17.07.2020 19:24:38
2;17.07.2020 19:24:39
6;17.07.2020 19:24:40
10;17.07.2020 19:24:41
11;17.07.2020 19:24:42
16;17.07.2020 19:24:43
10;17.07.2020 19:24:44
7;17.07.2020 19:24:45
17;17.07.2020 19:24:46
10;17.07.2020 19:24:47
12;17.07.2020 19:24:48
13;17.07.2020 19:24:49
13;17.07.2020 19:24:50
8;17.07.2020 19:24:51
14;17.07.2020 19:24:52
3;17.07.2020 19:24:53
10;17.07.2020 19:24:54
8;17.07.2020 19:24:55
1;17.07.2020 19:25:11
7;17.07.2020 19:25:12
9;17.07.2020 19:25:13
13;17.07.2020 19:25:14
13;17.07.2020 19:25:15
11;17.07.2020 19:25:16
13;17.07.2020 19:25:17
7;17.07.2020 19:25:18
8;17.07.2020 19:25:51
9;17.07.2020 19:25:52
10;17.07.2020 19:25:53
16;17.07.2020 19:25:54
11;17.07.2020 19:25:55
12;17.07.2020 19:25:56
8;17.07.2020 19:25:57
1;17.07.2020 19:25:58
2;17.07.2020 19:28:08
5;17.07.2020 19:28:09
6;17.07.2020 19:28:10
10;17.07.2020 19:28:11
11;17.07.2020 19:28:12
11;17.07.2020 19:28:13
14;17.07.2020 19:28:14
15;17.07.2020 19:28:15
8;17.07.2020 19:28:16
16;17.07.2020 19:28:17
11;17.07.2020 19:28:18
12;17.07.2020 19:28:19
5;17.07.2020 19:28:20
9;17.07.2020 19:28:21
14;17.07.2020 19:28:22
7;17.07.2020 19:28:23
12;17.07.2020 19:28:24
3;17.07.2020 19:28:25
5;17.07.2020 19:28:26
10;17.07.2020 19:28:27
14;17.07.2020 19:28:28
13;17.07.2020 19:28:29
8;17.07.2020 19:28:30
7;17.07.2020 19:28:31
2;17.07.2020 19:28:32
